,assay,Best Threshold,AUC,ROC,Overall Accuracy,True Positive Rate,True Negative Rate,Parameters
0,588458,0.36796248,0.5639401,0.564516129032258,45.55555555555556,92.85714285714286,24.193548387096776,"{'num_layers': 1, 'units_0': 8, 'units_1': 24, 'units_2': 24}"
1,588334,0.41705552,0.51161313,0.5139358108108107,62.264150943396224,43.75,70.27027027027027,"{'num_layers': 1, 'units_0': 8, 'units_1': 24, 'units_2': 24}"
2,2642,0.42250872,0.44176203,0.4411899313501144,73.8562091503268,7.894736842105263,95.65217391304348,"{'num_layers': 1, 'units_0': 40, 'units_1': 40}"
3,2156,0.27140313,0.56490874,0.5671399594320488,53.50877192982456,65.51724137931035,49.411764705882355,"{'num_layers': 2, 'units_0': 40, 'units_1': 8, 'units_2': 40}"
4,2330,0.46803653,0.7112269,0.7071759259259259,80.3030303030303,44.44444444444444,93.75,"{'num_layers': 2, 'units_0': 40, 'units_1': 40, 'units_2': 56}"
5,2216,0.4722101,0.5480205,0.5469208211143695,42.016806722689076,90.32258064516128,25.0,"{'num_layers': 3, 'units_0': 24, 'units_1': 24, 'units_2': 8}"
6,743015,0.4514493,0.74615383,0.7512820512820513,70.4225352112676,61.53846153846154,75.55555555555556,"{'num_layers': 2, 'units_0': 56, 'units_1': 8}"
7,504444,0.3378311,0.69944197,0.6972098214285714,80.0925925925926,42.857142857142854,93.125,"{'num_layers': 3, 'units_0': 24, 'units_1': 40, 'units_2': 24}"
8,894,0.21210362,0.48173448,0.4808139534883721,44.396551724137936,76.66666666666667,33.13953488372093,"{'num_layers': 3, 'units_0': 24, 'units_1': 8, 'units_2': 8}"
9,720635,0.4813513,0.64166665,0.6351851851851852,70.58823529411765,60.0,75.0,"{'num_layers': 2, 'units_0': 40, 'units_1': 40, 'units_2': 8}"
10,1688,0.2162836,0.6295707,0.6273449920508745,60.65573770491803,72.97297297297297,55.294117647058826,"{'num_layers': 3, 'units_0': 40, 'units_1': 40, 'units_2': 40}"
11,2599,0.44674343,0.5484499,0.5503972581398971,72.22222222222221,20.408163265306122,91.6030534351145,"{'num_layers': 2, 'units_0': 40, 'units_1': 24, 'units_2': 40}"
12,602340,0.4860493,0.48199674,0.4942716857610475,40.0,84.61538461538461,27.659574468085108,"{'num_layers': 2, 'units_0': 8, 'units_1': 8}"
13,2796,0.4489178,0.43170732,0.4315196998123827,75.55555555555556,4.615384615384616,98.04878048780488,"{'num_layers': 2, 'units_0': 24, 'units_1': 8, 'units_2': 24}"
14,504652,0.21236016,0.5843066,0.5838895068594736,50.847457627118644,74.19354838709677,42.5287356321839,"{'num_layers': 3, 'units_0': 24, 'units_1': 56, 'units_2': 8}"
15,651658,0.41832346,0.5267295,0.5259433962264151,42.857142857142854,95.83333333333334,18.867924528301888,"{'num_layers': 2, 'units_0': 8, 'units_1': 40, 'units_2': 40}"
16,720582,0.19545554,0.50202924,0.502435064935065,27.956989247311824,100.0,12.987012987012985,"{'num_layers': 1, 'units_0': 40, 'units_1': 8}"
17,624256,0.38749734,0.60342264,0.6036706349206349,71.0,46.42857142857143,80.55555555555556,"{'num_layers': 1, 'units_0': 56, 'units_1': 40, 'units_2': 24}"
18,1531,0.34982702,0.634375,0.6340277777777777,71.73913043478261,55.00000000000001,76.38888888888889,"{'num_layers': 2, 'units_0': 40, 'units_1': 24, 'units_2': 8}"
19,588852,0.31135267,0.6773908,0.6788665879574971,73.73737373737373,54.54545454545454,79.22077922077922,"{'num_layers': 3, 'units_0': 56, 'units_1': 24, 'units_2': 56}"
20,485270,0.31541258,0.48216683,0.48109412711182625,54.109589041095894,51.515151515151516,54.86725663716814,"{'num_layers': 2, 'units_0': 56, 'units_1': 24, 'units_2': 40}"
21,743012,0.37914634,0.68978655,0.6935975609756098,72.6027397260274,46.875,92.6829268292683,"{'num_layers': 3, 'units_0': 56, 'units_1': 56, 'units_2': 24}"
22,777,0.25124404,0.55226105,0.5508988134643784,47.07602339181287,68.4931506849315,41.2639405204461,"{'num_layers': 2, 'units_0': 56, 'units_1': 24, 'units_2': 40}"
23,504582,0.25248498,0.69166666,0.6936507936507936,62.65060240963856,85.0,55.55555555555556,"{'num_layers': 1, 'units_0': 40, 'units_1': 24, 'units_2': 24}"
24,504660,0.44455108,0.45600232,0.4522144522144522,78.0,13.636363636363635,96.15384615384616,"{'num_layers': 3, 'units_0': 56, 'units_1': 56, 'units_2': 8}"
25,2553,0.3265754,0.6409131,0.6409130816505707,67.85714285714286,64.70588235294117,68.65671641791045,"{'num_layers': 3, 'units_0': 56, 'units_1': 56, 'units_2': 24}"
26,743014,0.3106357,0.80888885,0.8122222222222222,79.41176470588235,66.66666666666666,84.0,"{'num_layers': 2, 'units_0': 56, 'units_1': 40, 'units_2': 40}"
27,1822,0.4802036,0.65189874,0.6529899607158447,79.62962962962963,31.03448275862069,97.46835443037975,"{'num_layers': 1, 'units_0': 40, 'units_1': 40, 'units_2': 40}"
28,938,0.4518582,0.44305056,0.43966547192353644,74.10714285714286,9.67741935483871,98.76543209876543,"{'num_layers': 1, 'units_0': 8, 'units_1': 56, 'units_2': 24}"
29,1529,0.41946205,0.47402596,0.4751082251082251,49.572649572649574,60.60606060606061,45.23809523809524,"{'num_layers': 1, 'units_0': 8, 'units_1': 40, 'units_2': 56}"
30,651610,0.14486048,0.6367942,0.6366047745358091,55.833333333333336,75.86206896551724,49.45054945054945,"{'num_layers': 3, 'units_0': 40, 'units_1': 24, 'units_2': 8}"
31,624466,0.26005247,0.5611621,0.5603126061841658,67.64705882352942,48.148148148148145,72.47706422018348,"{'num_layers': 3, 'units_0': 56, 'units_1': 56, 'units_2': 8}"
32,932,0.23959275,0.59197843,0.5909863945578232,55.05952380952381,67.85714285714286,50.79365079365079,"{'num_layers': 2, 'units_0': 40, 'units_1': 24, 'units_2': 24}"
33,720648,0.36157146,0.6731602,0.6746031746031746,82.10526315789474,55.55555555555556,88.31168831168831,"{'num_layers': 2, 'units_0': 56, 'units_1': 56, 'units_2': 24}"
34,2540,0.44303355,0.43735433,0.43822843822843827,71.0,22.727272727272727,84.61538461538461,"{'num_layers': 3, 'units_0': 40, 'units_1': 24, 'units_2': 8}"
35,2098,0.4245258,0.49151585,0.49208144796380093,43.61702127659575,80.76923076923077,29.411764705882355,"{'num_layers': 2, 'units_0': 56, 'units_1': 24, 'units_2': 56}"
36,Novartis1,0.47019926,0.4166667,0.4206349206349206,36.0,100.0,11.11111111111111,"{'num_layers': 3, 'units_0': 40, 'units_1': 24, 'units_2': 8}"
37,Novartis2,0.5217388,0.52678573,0.5297619047619048,61.53846153846154,41.66666666666667,78.57142857142857,"{'num_layers': 1, 'units_0': 8, 'units_1': 56, 'units_2': 8}"
38,2685,0.40030804,0.52989125,0.5271739130434783,58.06451612903226,62.5,56.52173913043478,"{'num_layers': 1, 'units_0': 24, 'units_1': 8, 'units_2': 24}"
39,485294,0.4955785,0.6944444,0.7333333333333334,56.52173913043478,100.0,44.44444444444444,"{'num_layers': 3, 'units_0': 8, 'units_1': 40, 'units_2': 24}"
40,2517,0.46523204,0.4825784,0.4843205574912892,60.0,57.14285714285714,60.97560975609756,"{'num_layers': 3, 'units_0': 24, 'units_1': 24, 'units_2': 56}"
41,504333,0.73099774,0.5190668,0.520224171539961,50.53763440860215,25.438596491228072,90.27777777777779,"{'num_layers': 2, 'units_0': 40, 'units_1': 8}"
42,881,0.3680108,0.4376068,0.4358974358974359,46.2962962962963,86.66666666666667,30.76923076923077,"{'num_layers': 3, 'units_0': 8, 'units_1': 8, 'units_2': 8}"
43,504339,0.5168549,0.4708198,0.44928207503473827,27.95031055900621,11.023622047244094,91.17647058823529,"{'num_layers': 3, 'units_0': 40, 'units_1': 8, 'units_2': 8}"
44,504466,0.5302155,0.6023035,0.5975609756097562,59.32203389830508,56.09756097560976,66.66666666666666,"{'num_layers': 3, 'units_0': 40, 'units_1': 8, 'units_2': 8}"
45,504332,0.74204063,0.5631838,0.5628826658636956,57.798165137614674,57.72357723577236,58.0246913580247,"{'num_layers': 1, 'units_0': 24, 'units_1': 40, 'units_2': 56}"
46,504327,0.47313008,0.7068182,0.7045454545454546,70.96774193548387,72.72727272727273,70.0,"{'num_layers': 1, 'units_0': 8, 'units_1': 40, 'units_2': 24}"
47,488953,0.58112377,0.4375,0.4411764705882353,48.0,23.52941176470588,100.0,"{'num_layers': 2, 'units_0': 40, 'units_1': 8, 'units_2': 8}"
48,1851_2,0.24309477,0.55899733,0.5596645062905071,46.666666666666664,81.3953488372093,34.42622950819672,"{'num_layers': 2, 'units_0': 56, 'units_1': 24, 'units_2': 24}"
